ATM,Latitude,Longitude,ID
ATM1,24.204,55.762,1
ATM2,24.223,55.766,2
ATM3,24.37,54.517,3
ATM4,24.411,54.59,4
ATM5,24.476,54.321,5
ATM6,24.489,54.609,6
ATM7,24.497,54.374,7
ATM8,24.5,54.405,8
ATM9,25.007,55.302,9
ATM10,25.069,55.134,10
ATM11,25.119,55.396,11
ATM12,25.126,55.262,12
ATM13,25.143,55.221,13
ATM14,25.165,55.212,14
ATM15,25.199,55.275,15
ATM16,25.216,55.408,16
ATM17,25.248,55.275,17
ATM18,25.264,55.313,18
ATM19,25.264,55.322,19
ATM20,25.277,55.348,20
ATM21,25.29,55.394,21
ATM22,25.346,55.39,22
ATM23,25.583,56.355,23
ATM24,25.783,55.943,24
