Branch Name,Address,Lat,Lon
Head Office (DHCC),"Dubai Healthcare City, Building #16, Executive Building",25.2337015,55.3251495
Baniyas Branch (BNS),"Ground & Mezzanine Floor, Plot Number 115 - 141, Al Sabkha Area",25.2676611,55.3025413
Fujairah Branch,"Shk. Ahmed Bin Abdullah Street, Near Choithram Super Market",25.1217623,56.3371092
Khalifa City Branch,"Villa # 104, Sector SE-02, Khalifa City Main Street, Abu Dhabi",24.4214444,54.566
Al Twar Branch (ATW),Dubai Municipality Building - Opposite Al Twar Centre - Al Nahda Street,25.2652092,55.3836552
Nad Al Hamar Branch (NHM),"Bel Remaitha Club Building,Show Rooms # S-8 & S-9,Nad Al Hamar Area, Al Rebat Street",25.2136747,55.3802546
Shaikh Zayed Road (SZB),"Showroom 2, Al Wasl Tower,Sheikh Zayed Road",25.218222,55.27922
Qasimiyah Branch (QSM),"Al Otaiba Building, King Abdul Aziz Street",25.345458,55.391907
Ras Al Khaimah Branch (ROS),"Emirates Islamic Tower, Ground Floor, Al Muntaser Road - Al Nakheel Area",25.79288,55.970209
Halwan branch (HLW),"Sharjah, Samnan Arear Wasit Street, Nearest landmark: (SHEIKH SAUD ALQASIMI MOSQUE & ALQASIMI HOSPITAL)",25.3406681,55.4287734
Bur Dubai,"Bank Street, Next to Sun & Sand Sports Shop, Atrium Centre",25.2573012,55.2991045
Jebel Ali,"Banking Complex, JAFZA Gate 5",24.965805,55.075351
Ajman,Sheikh Khalifa Bin Zayed Road,25.395002,55.4747506
